GEOID,NAME,id,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
0802,CO-02,45,Jared Polis,democratic,260175,0.5689223112448394,Nicholas Morse,republican,170001,0.37173964383178226,0.19718266741305712
0803,CO-03,43,Scott R. Tipton,republican,204220,0.5459887658172855,Gail Schwartz,democratic,150914,0.40347345316105093,-0.14251531265623457
0807,CO-07,42,Ed Perlmutter,democratic,199758,0.5518024363967846,George Athanasopoulos,republican,144066,0.3979613822822574,0.1538410541145272
0804,CO-04,40,Ken Buck,republican,248230,0.6354525324151702,Bob Seay,democratic,123642,0.31651541720531956,-0.31893711520985063
0801,CO-01,44,Diana DeGette,democratic,257254,0.6787059804345761,"Charles """"Casper"""" Stockham",republican,105030,0.27709768992918876,0.4016082905053873
0805,CO-05,46,Doug Lamborn,republican,225445,0.6225801819316569,Misty Plowright,democratic,111676,0.3084001170901981,-0.3141800648414588
0806,CO-06,41,Mike Coffman,republican,191626,0.5090790267177093,Morgan Carroll,democratic,160372,0.4260487703796587,-0.08303025633805061
1207,FL-07,165,Stephanie Murphy,democratic,182029,0.5138868499802383,John Mica,republican,171576,0.48437694088419625,0.02950990909604201
1215,FL-15,158,Dennis A. Ross,republican,182999,0.5746120562432098,Jim Lange,democratic,135475,0.4253879437567902,-0.1492241124864196
1211,FL-11,151,Daniel Webster,republican,258016,0.6536700792209141,Dave Koller,democratic,124713,0.31595388111542644,-0.3377161981054877
1219,FL-19,152,Francis Rooney,republican,239225,0.6585140938119357,Robert M. Neeld,democratic,123812,0.34081700066064746,-0.31769709315128825
1205,FL-05,144,Al Lawson,democratic,194549,0.6423430205299894,Glo Smith,republican,108325,0.3576569794700106,0.28468604105997874
1216,FL-16,160,Vern Buchanan,republican,230654,0.5976792877206438,Jan Schneider,democratic,155262,0.4023207122793561,-0.1953585754412877
1225,FL-25,153,Mario Diaz-Balart,republican,157921,0.6236021165692623,Alina Valdes,democratic,95319,0.37639788343073766,-0.2472042331385247
1218,FL-18,161,Brian Mast,republican,201488,0.5355305124388688,Randy Perkins,democratic,161918,0.430358281947693,-0.10517223049117586
