STATEFP,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
49,Donald Trump,republican,515869,0.4501816455524983,Hillary Clinton,democratic,311164,0.27154242948635715,-0.17863921606614114
10,Hillary Clinton,democratic,235603,0.5308597745902562,Donald Trump,republican,185127,0.41712744528113127,0.11373232930912497
18,Donald Trump,republican,1557111,0.5711421037438502,Hillary Clinton,democratic,1033089,0.37893292438023396,-0.19220917936361626
32,Hillary Clinton,democratic,539132,0.4792390942020934,Donald Trump,republican,511800,0.4549434431876264,0.024295651014466957
33,Hillary Clinton,democratic,348526,0.46826262669690555,Donald Trump,republican,345790,0.46458666981953417,0.003675956877371378
21,Donald Trump,republican,1202924,0.624385696459826,Hillary Clinton,democratic,628846,0.32640669541548406,-0.29797900104434194
11,Hillary Clinton,democratic,282830,0.8899090362753643,Donald Trump,republican,12723,0.04003221959668868,0.8498768166786757
51,Hillary Clinton,democratic,1981473,0.4972789199301014,Donald Trump,republican,1769443,0.44406696630127107,0.053211953628830355
20,Donald Trump,republican,671020,0.5621529060595931,Hillary Clinton,democratic,427009,0.3577305449369628,-0.2044223611226303
17,Hillary Clinton,democratic,3091904,0.5529231083970383,Donald Trump,republican,2147758,0.38408211556523303,0.16884099283180526
38,Donald Trump,republican,216794,0.629556278313393,Hillary Clinton,democratic,93758,0.27226739458706006,-0.35728888372633294
24,Hillary Clinton,democratic,1677928,0.6032585267852167,Donald Trump,republican,943169,0.3390936568490937,0.26416486993612304
39,Donald Trump,republican,2841005,0.5168765067578619,Hillary Clinton,democratic,2394164,0.4355807627672002,-0.0812957439906617
29,Donald Trump,republican,1594511,0.5677855412780267,Hillary Clinton,democratic,1071068,0.38139399736067897,-0.18639154391734775
41,Hillary Clinton,democratic,1002106,0.5007185200286208,Donald Trump,republican,782403,0.39094035184496756,0.10977816818365327
35,Hillary Clinton,democratic,385234,0.48255647178634103,Donald Trump,republican,319667,0.40042514333242724,0.0821313284539138
36,Hillary Clinton,democratic,4556131,0.5758596853818633,Donald Trump,republican,2819540,0.35636802746048757,0.2194916579213757
25,Hillary Clinton,democratic,1995196,0.6000506459158761,Donald Trump,republican,1090893,0.3280835814000769,0.2719670645157992
06,Hillary Clinton,democratic,8753777,0.6172643085356558,Donald Trump,republican,4483799,0.31617084709238824,0.3010934614432676
