STATEFP,dem_margin,dem_votes,gop_votes
49,-0.17863921606614114,311164,515869
10,0.11373232930912497,235603,185127
18,-0.19220917936361626,1033089,1557111
32,0.024295651014466957,539132,511800
33,0.003675956877371378,348526,345790
21,-0.29797900104434194,628846,1202924
11,0.8498768166786757,282830,12723
51,0.053211953628830355,1981473,1769443
20,-0.2044223611226303,427009,671020
17,0.16884099283180526,3091904,2147758
38,-0.35728888372633294,93758,216794
24,0.26416486993612304,1677928,943169
39,-0.0812957439906617,2394164,2841005
29,-0.18639154391734775,1071068,1594511
41,0.10977816818365327,1002106,782403
35,0.0821313284539138,385234,319667
36,0.2194916579213757,4556131,2819540
25,0.2719670645157992,1995196,1090893
06,0.3010934614432676,8753777,4483799
47,-0.2600570089556452,870695,1522925
12,-0.011887026658819522,4504974,4617879
53,0.1574637220623818,1741603,1219812
54,-0.42153877655777316,188785,489351
30,-0.20422732109416325,177709,279240
15,0.32182814725705644,266891,128847
45,-0.14265912896030342,855373,1155389
02,-0.1481999333890519,116180,163347
46,-0.29795944839439314,117442,227701
05,-0.2692035897585571,380494,684872
16,-0.31764908677155024,189765,409055
23,0.029711537561369628,357582,335366
50,0.2642076216423906,178573,95369
09,0.1363983449107708,897572,673215
01,-0.27807400325331544,727869,1317127
19,-0.09406838051098604,653669,800983
27,0.01520130480271581,1367716,1322951
42,-0.007251393561178543,2925758,2970378
34,0.1402632086050425,2148239,1600868
22,-0.1963911855505483,780154,1178638
31,-0.25059595214382907,284527,496142
26,-0.00223033269129308,2268839,2279543
28,-0.1782611715560054,485131,700714
13,-0.05131342697410185,1877963,2089104
55,-0.007453669580309685,1381823,1404000
37,-0.036552254444099486,2189316,2362631
44,0.15406891432319986,251888,180490
08,0.04905535371497566,1338870,1202484
56,-0.46295275729043306,55973,174419
04,-0.03502366354800035,1161165,1252389
40,-0.36391184535083465,420375,949136
48,-0.0898101284143819,3877626,4684288
